transaction_id,posting_date_raw,invoice_date_raw,fiscal_period,entity_code,account_code_raw,cost_center_raw,vendor_name_raw,invoice_number,po_number,currency_code,amount_raw,tax_code,narrative,source_system,posting_date,invoice_date,fiscal_year,fiscal_month,amount,amount_is_negative,narrative_lower,processing_timestamp,source_file,data_quality_score,anomaly_count,entity_valid,entity_code_mapped,account_code_clean,account_valid,account_code_mapped,account_description,cost_center_present,cost_center_valid,cost_center_mapped,vendor_canonical,vendor_resolution_status,fx_key,fx_rate,amount_aud,conversion_status,mean_amount,std_amount,txn_count,is_outlier,posting_hour,posting_day,posting_weekend,suspicious_hour,has_exception,exception_rules
TXN000001,23-01-2026,16-01-2026,2026-01,AUS01,5620,,Adobe,INV30892,,AUD,6049.77,GST,Payment for license,Manual Entry,2026-01-23,2026-01-16,2026,01,6049.77,False,payment for license,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5620,True,5620,Insurance,False,False,,Adobe Systems,MAPPED,2026-01_AUD,1.0,6049.77,DOMESTIC,32410.971605588227,27490.799177232966,170.0,False,0.0,Friday,False,True,True,EX001;EX002
TXN000002,26-02-2026,23-02-2026,2026-02,AUS01,5610,,Federal Express,INV73318,PO2850,NZD,27549.99,GST-FREE,Payment for consulting,Manual Entry,2026-02-26,2026-02-23,2026,02,27549.99,False,payment for consulting,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5610,True,5610,Postage and Courier,False,False,,FedEx,MAPPED,2026-02_NZD,0.932,25676.59068,CONVERTED,29081.766845273953,25872.32663648796,146.0,False,0.0,Thursday,False,True,True,EX002
TXN000003,2025-08-02,2025-07-28,2025-08,AUS01,5620,,McKinsey,INV97797,PO9504,AUD,31735.11,GST-FREE,Payment for license,API Import,2025-08-02,2025-07-28,2025,08,31735.11,False,payment for license,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5620,True,5620,Insurance,False,False,,McKinsey & Company,MAPPED,2025-08_AUD,1.0,31735.11,DOMESTIC,32410.971605588227,27490.799177232966,170.0,False,0.0,Saturday,True,True,True,EX002
TXN000004,04-10-2025,30-09-2025,2025-10,AUS01,5500,,WeWork Australia,INV11526,PO3571,GBP,6774.58,GST,Payment for license,Manual Entry,2025-10-04,2025-09-30,2025,10,6774.58,False,payment for license,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5500,True,5500,Marketing,False,False,,WeWork,MAPPED,2025-10_GBP,1.951,13217.20558,CONVERTED,28972.634359125877,32785.70497360227,143.0,False,0.0,Saturday,True,True,True,EX002
TXN000005,28-01-2026,25-01-2026,2026-01,AUS01,5020,,Hays,INV16599,PO7203,NZD,10916.04,INPUT,Payment for consulting,Oracle,2026-01-28,2026-01-25,2026,01,10916.04,False,payment for consulting,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5020,True,5020,Contractor Fees,False,False,,Hays Recruitment,MAPPED,2026-01_NZD,0.9335,10190.12334,CONVERTED,28445.577844280295,21241.721119146277,132.0,False,0.0,Wednesday,False,True,True,EX002
TXN000006,03-01-2026,26-12-2025,2026-01,AUS01,5900,,Optus Pty,INV51426,,AUD,38560.86,EXPORT,Payment for consulting,SAP,2026-01-03,2025-12-26,2026,01,38560.86,False,payment for consulting,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5900,True,5900,Bank Charges,False,False,,Optus,MAPPED,2026-01_AUD,1.0,38560.86,DOMESTIC,31670.032329854675,24882.231532617723,172.0,False,0.0,Saturday,True,True,True,EX001;EX002
TXN000007,04-01-2026,28-12-2025,2026-01,AUS01,5010,,AWS,INV76628,PO8474,AUD,35651.07,INPUT,Payment for subscription,Workday,2026-01-04,2025-12-28,2026,01,35651.07,False,payment for subscription,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5010,True,5010,Employee Benefits,False,False,,Amazon Web Services,MAPPED,2026-01_AUD,1.0,35651.07,DOMESTIC,27923.213086278203,19430.63083039902,133.0,False,0.0,Sunday,True,True,True,EX002
TXN000008,2026-01-27,2026-01-23,2026-01,AUS01,5920,,LinkedIn Corp,INV96136,PO8414,NZD,25250.77,EXPORT,Payment for services,SAP,2026-01-27,2026-01-23,2026,01,25250.77,False,payment for services,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5920,True,5920,FX Loss,False,False,,LinkedIn,MAPPED,2026-01_NZD,0.9335,23571.593795,CONVERTED,27533.92400565971,21784.021192347693,144.0,False,0.0,Tuesday,False,True,True,EX002
TXN000009,25/10/2025,24/10/2025,2025-10,AUS01,5310,,WeWork Australia,INV23935,,NZD,24691.31,INPUT,Payment for goods,Manual Entry,2025-10-25,2025-10-24,2025,10,24691.31,False,payment for goods,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5310,True,5310,Legal Fees,False,False,,WeWork,MAPPED,2025-10_NZD,0.929,22938.226990000003,CONVERTED,33139.04129260232,28423.631835285127,171.0,False,0.0,Saturday,True,True,True,EX001;EX002
TXN000010,05-10-2025,03-10-2025,2025-10,AUS01,5220,,SAP,INV38257,PO4122,USD,5521.49,EXPORT,Payment for subscription,SAP,2025-10-05,2025-10-03,2025,10,5521.49,False,payment for subscription,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5220,True,5220,IT Support,False,False,,SAP SE,MAPPED,2025-10_USD,1.521,8398.18629,CONVERTED,29540.94372533058,19404.169897416657,121.0,False,0.0,Sunday,True,True,True,EX002
TXN000011,25-02-2026,24-02-2026,2026-02,AUS01,5620,,Atlassian Pty,INV75382,,GBP,20636.72,GST-FREE,Payment for services,API Import,2026-02-25,2026-02-24,2026,02,20636.72,False,payment for services,2026-02-22 23:27:14.356841,Raw_GL_Export.csv,83.92156862745098,0,True,AUS01,5620,True,5620,Insurance,False,False,,Atlassian,MAPPED,2026-02_GBP,1.955,40344.7876,CONVERTED,32410.971605588227,27490.799177232966,170.0,False,0.0,Wednesday,False,True,True,EX001;EX002
